l,xi,xmax
-4.0,-4.3,0.0
-4.0,-4.4,0.0
-4.0,-4.5,0.0
-4.0,-4.6,0.0
-4.0,-4.7,0.0
-4.0,-4.8,0.0
-4.0,-4.9,0.0
-4.0,-5.0,0.0
-3.75,6.0,0.999525
-3.75,5.9,0.999525
-3.75,5.8,0.999525
-3.75,5.7,0.999525
-3.75,5.6,0.999525
-3.75,5.5,0.999525
-3.75,5.4,0.999525
-3.75,5.3,0.999525
-3.75,5.2,0.999525
-3.75,5.1,0.999525
-3.75,5.0,0.999525
-3.75,4.9,0.999525
-3.75,4.8,0.999525
-3.75,4.7,0.999525
-3.75,4.6,0.999525
-3.75,4.5,0.999525
-3.75,4.4,0.999525
-3.75,4.3,0.999525
-3.75,4.2,0.999525
-3.75,4.1,0.999525
-3.75,4.0,0.999525
-3.75,3.9,0.999525
-3.75,3.8,0.999525
-3.75,3.7,0.999525
-3.75,3.6,0.999525
-3.75,3.5,0.999525
-3.75,3.4,0.999525
-3.75,3.3,0.999525
-3.75,3.2,0.999525
-3.75,3.1,0.999525
-3.75,3.0,0.999525
-3.75,2.9,0.999525
-3.75,2.8,0.999525
-3.75,2.7,0.999525
-3.75,2.6,0.999525
-3.75,2.5,0.999525
-3.75,2.4,0.999525
-3.75,2.3,0.999524
-3.75,2.2,0.999524
-3.75,2.1,0.999524
-3.75,2.0,0.999524
-3.75,1.9,0.999523
-3.75,1.8,0.999523
-3.75,1.7,0.999522
-3.75,1.6,0.999521
-3.75,1.5,0.99952
-3.75,1.4,0.999519
-3.75,1.3,0.999517
-3.75,1.2,0.999515
-3.75,1.1,0.999513
-3.75,1.0,0.999509
-3.75,0.9,0.999505
-3.75,0.8,0.9995
-3.75,0.7,0.999494
-3.75,0.6,0.999486
-3.75,0.5,0.999476
-3.75,0.4,0.999463
-3.75,0.3,0.999447
-3.75,0.2,0.999426
-3.75,0.1,0.999401
-3.75,0.0,0.999368
-3.75,-0.1,0.999328
-3.75,-0.2,0.999276
-3.75,-0.3,0.999212
-3.75,-0.4,0.999131
-3.75,-0.5,0.999029
-3.75,-0.6,0.9989
-3.75,-0.7,0.998738
-3.75,-0.8,0.998535
-3.75,-0.9,0.998278
-3.75,-1.0,0.997955
-3.75,-1.1,0.997549
-3.75,-1.2,0.997037
-3.75,-1.3,0.996392
-3.75,-1.4,0.995581
-3.75,-1.5,0.99456
-3.75,-1.6,0.993275
-3.75,-1.7,0.991656
-3.75,-1.8,0.989619
-3.75,-1.9,0.987054
-3.75,-2.0,0.983824
-3.75,-2.1,0.979759
-3.75,-2.2,0.974641
-3.75,-2.3,0.968198
-3.75,-2.4,0.960087
-3.75,-2.5,0.949875
-3.75,-2.6,0.937019
-3.75,-2.7,0.920835
-3.75,-2.8,0.90046
-3.75,-2.9,0.87481
-3.75,-3.0,0.842518
-3.75,-3.1,0.801865
-3.75,-3.2,0.750686
-3.75,-3.3,0.686255
-3.75,-3.4,0.605142
-3.75,-3.5,0.503025
-3.75,-3.6,0.374469
-3.75,-3.7,0.212626
-3.75,-3.8,0.008878
-3.75,-3.9,0.0
-3.75,-4.0,0.0
-3.75,-4.1,0.0
-3.75,-4.2,0.0
-3.75,-4.3,0.0
-3.75,-4.4,0.0
-3.75,-4.5,0.0
-3.75,-4.6,0.0
-3.75,-4.7,0.0
-3.75,-4.8,0.0
-3.75,-4.9,0.0
-3.75,-5.0,0.0
-3.5,6.0,0.999479
-3.5,5.9,0.999479
-3.5,5.8,0.999479
-3.5,5.7,0.999479
-3.5,5.6,0.999479
-3.5,5.5,0.999479
-3.5,5.4,0.999479
-3.5,5.3,0.999479
-3.5,5.2,0.999479
-3.5,5.1,0.999479
-3.5,5.0,0.999479
-3.5,4.9,0.999479
-3.5,4.8,0.999479
-3.5,4.7,0.999479
